Date,Open,Open*,High,Low,Lag ,Volume,Market Cap
"Feb 20, 2018",9.32650432,9.264127554,9.389197602,9.32650432,9.341693143,23.01847782,25.96784482
"Feb 19, 2018",9.264127554,9.316806276,9.330236729,9.260386889,9.325925438,22.75824465,25.90535833
"Feb 18, 2018",9.316806276,9.230878023,9.336955402,9.242420265,9.26405174,22.89163473,25.95791364
"Feb 17, 2018",9.230878023,9.223819124,9.318252629,9.225169869,9.315843877,22.88208217,25.87187016
"Feb 16, 2018",9.223819124,9.157816847,9.242236247,9.192667116,9.233461018,22.71061402,25.86469545
"Feb 15, 2018",9.157816847,9.05950818,9.233548957,9.147994645,9.226843444,22.92741527,25.79859589
"Feb 14, 2018",9.05950818,9.096804305,9.160996755,9.05950818,9.158481655,22.79137086,25.70015819
"Feb 13, 2018",9.096804305,9.004721119,9.100354732,9.042561752,9.059320951,22.46315641,25.73733523
"Feb 12, 2018",9.004721119,9.061391307,9.103414187,9.004721119,9.096787502,22.55687717,25.6451282
"Feb 11, 2018",9.061391307,9.073383691,9.061391307,8.978547019,9.003312512,22.53518571,25.70168781
"Feb 10, 2018",9.073383691,9.020612254,9.118504649,9.023464862,9.062060757,22.77494556,25.71356916
"Feb 09, 2018",9.020612254,8.940872738,9.075319871,8.97268072,9.075319871,22.6379536,25.66069941
"Feb 08, 2018",8.940872738,8.956156259,9.054711767,8.940872738,9.019856393,22.95829453,25.58085873
"Feb 07, 2018",8.956156259,8.861031092,9.048892633,8.886933017,8.938702238,22.9391246,25.59604038
"Feb 06, 2018",8.861031092,9.020455082,8.968357979,8.707525906,8.955964118,23.36230888,25.50079142
"Feb 05, 2018",9.020455082,9.124313964,9.031792486,8.818286924,8.847254925,22.95169726,25.66007517
"Feb 04, 2018",9.124313964,9.088412257,9.14151213,8.991091726,9.021237071,22.67962831,25.76380292
"Feb 03, 2018",9.088412257,9.120665086,9.151730906,9.018166036,9.124227864,22.70616757,25.72778245
"Feb 02, 2018",9.120665086,9.233793192,9.120665086,8.961428911,9.085995228,23.2669837,25.7599132
"Feb 01, 2018",9.233793192,9.221102255,9.238811204,9.083901482,9.123751451,23.02178267,25.87292077
"Jan 31, 2018",9.221102255,9.333159594,9.247790287,9.187830925,9.23220949,22.80783919,25.86014017
"Jan 30, 2018",9.333159594,9.372076495,9.33319497,9.213953836,9.220914271,22.8794207,25.97207253
"Jan 29, 2018",9.372076495,9.347952178,9.382241154,9.321810188,9.33223937,22.6843967,26.01088114
"Jan 28, 2018",9.347952178,9.321425471,9.396014635,9.347952178,9.374693119,22.84557049,25.98664491
"Jan 27, 2018",9.321425471,9.328656599,9.360044036,9.304668251,9.344932452,22.74921034,25.95999499
"Jan 26, 2018",9.328656599,9.343270334,9.363636401,9.256297957,9.32111222,23.0001433,25.96711646
"Jan 25, 2018",9.343270334,9.296829946,9.374642211,9.310855166,9.328958614,22.90629795,25.98160981
"Jan 24, 2018",9.296829946,9.300592326,9.350224046,9.272356966,9.337800874,23.01993245,25.93503899
"Jan 23, 2018",9.300592326,9.361609762,9.339401789,9.223226982,9.293614775,22.99132263,25.93867431
"Jan 22, 2018",9.361609762,9.46414503,9.389858001,9.23407643,9.299394661,23.07819667,25.99956763
