Date,Open,High,Low,Close,Adj Close,Volume
22/03/2020,0.029446,0.030256,0.027013,0.027089,0.027089,78698656
23/03/2020,0.027089,0.029082,0.026753,0.029082,0.029082,92453324
24/03/2020,0.029092,0.030251,0.028717,0.030163,0.030163,88827461
25/03/2020,0.030187,0.030441,0.028975,0.029438,0.029438,83388813
26/03/2020,0.029438,0.030742,0.029351,0.030727,0.030727,81633746
27/03/2020,0.030729,0.03121,0.029214,0.029301,0.029301,85517314
28/03/2020,0.029254,0.029977,0.02819,0.029771,0.029771,85338156
29/03/2020,0.029738,0.029849,0.028225,0.028249,0.028249,71027469
30/03/2020,0.028218,0.030072,0.028124,0.029873,0.029873,81661518
31/03/2020,0.029825,0.030636,0.029682,0.030553,0.030553,79871856
01/04/2020,0.030553,0.030855,0.029555,0.030855,0.030855,92295629
02/04/2020,0.030841,0.033057,0.030841,0.031984,0.031984,106987595
03/04/2020,0.031961,0.032715,0.031707,0.032295,0.032295,89797916
04/04/2020,0.032295,0.032559,0.03187,0.032505,0.032505,89146987
05/04/2020,0.032517,0.032562,0.0317,0.032003,0.032003,64845688
06/04/2020,0.031999,0.035617,0.031934,0.035616,0.035616,117138445
07/04/2020,0.035655,0.036869,0.034845,0.035137,0.035137,117230378
08/04/2020,0.035131,0.036595,0.03512,0.036314,0.036314,100892761
09/04/2020,0.036279,0.036597,0.035574,0.036198,0.036198,86398497
10/04/2020,0.036162,0.036239,0.032544,0.033215,0.033215,95977717
11/04/2020,0.033215,0.034012,0.032772,0.033354,0.033354,75648111
12/04/2020,0.033329,0.034668,0.033075,0.033806,0.033806,73751090
13/04/2020,0.033782,0.033831,0.03207,0.033107,0.033107,84000834
14/04/2020,0.033123,0.033686,0.032781,0.032974,0.032974,74633336
15/04/2020,0.032959,0.033695,0.031839,0.031863,0.031863,68238171
16/04/2020,0.0319,0.034612,0.031242,0.034408,0.034408,101314083
18/04/2020,0.034623,0.036821,0.034575,0.036553,0.036553,89893451
19/04/2020,0.036573,0.036838,0.03563,0.035816,0.035816,87523446
20/04/2020,0.035806,0.036705,0.034158,0.034177,0.034177,94301265
21/04/2020,0.03416,0.034995,0.034032,0.0347,0.0347,86348515
22/04/2020,0.034688,0.036733,0.034544,0.036559,0.036559,78891247
23/04/2020,0.03657,0.041847,0.036524,0.040605,0.040605,162468134
24/04/2020,0.040617,0.043843,0.040617,0.041868,0.041868,176233806
25/04/2020,0.04187,0.043669,0.041398,0.042408,0.042408,101619889
26/04/2020,0.042405,0.046224,0.042232,0.045879,0.045879,150611027
27/04/2020,0.045938,0.047672,0.044644,0.046601,0.046601,168989554
28/04/2020,0.04663,0.048065,0.046265,0.047195,0.047195,144584235
29/04/2020,0.04723,0.051997,0.047019,0.051695,0.051695,192508666
30/04/2020,0.051717,0.054257,0.047565,0.047846,0.047846,242494651
01/05/2020,0.047826,0.051955,0.047776,0.05126,0.05126,169546437
02/05/2020,0.051196,0.05151,0.049891,0.051014,0.051014,128138136
03/05/2020,0.051032,0.051691,0.048311,0.048929,0.048929,139890791
04/05/2020,0.048964,0.050228,0.046523,0.049664,0.049664,172243659
05/05/2020,0.049668,0.050502,0.049049,0.049358,0.049358,128066778
06/05/2020,0.049302,0.051128,0.048983,0.049767,0.049767,131357244
07/05/2020,0.04974,0.051487,0.048857,0.051106,0.051106,143479708
08/05/2020,0.051083,0.053539,0.050986,0.052303,0.052303,172647716
09/05/2020,0.052259,0.053028,0.051522,0.051736,0.051736,141642171
10/05/2020,0.051744,0.051744,0.045003,0.047677,0.047677,227335948
11/05/2020,0.047696,0.04945,0.04549,0.048108,0.048108,206327744
12/05/2020,0.048094,0.050933,0.047906,0.050421,0.050421,170879029
13/05/2020,0.050367,0.052045,0.049724,0.051472,0.051472,148356780
14/05/2020,0.051365,0.051885,0.050481,0.05089,0.05089,144469842
15/05/2020,0.050866,0.051767,0.050014,0.050463,0.050463,142644324
16/05/2020,0.050423,0.051229,0.050084,0.050932,0.050932,123913485
17/05/2020,0.050913,0.052078,0.050913,0.051343,0.051343,115459525
18/05/2020,0.051294,0.054827,0.051094,0.054252,0.054252,182874559
19/05/2020,0.054224,0.056887,0.052858,0.056449,0.056449,186581379
20/05/2020,0.056459,0.057326,0.05465,0.056875,0.056875,203310637
21/05/2020,0.056869,0.057482,0.050575,0.052246,0.052246,228349552
