Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,8197.314453,8239.856445,8172.131836,8177.567383,8177.567383,12965489944
2019-09-19,8179.369629,8220.402344,7865.916016,8197.044922,8197.044922,15918910635
2019-09-20,8196.967773,8246.955078,8123.733398,8163.385254,8163.385254,11813504898
2019-09-21,8164.994629,8168.562012,8018.317871,8033.558594,8033.558594,10764043294
2019-09-22,8037.084961,8079.069824,7957.246582,8075.819824,8075.819824,10585289084
2019-09-23,8073.871582,8102.649414,7823.483398,7825.236816,7825.236816,12180972636
2019-09-24,7825.234863,7852.660156,6704.501465,6904.547852,6904.547852,20025787062
2019-09-25,6890.821777,7075.737793,6736.361328,6867.114746,6867.114746,17594399031
2019-09-26,6867.662109,6907.455566,6404.500488,6585.660156,6585.660156,15621196929
2019-09-27,6580.901367,6730.288086,6481.632324,6714.279297,6714.279297,13351463150
2019-09-28,6713.813965,6741.592285,6611.257324,6709.289063,6709.289063,11505948924
2019-09-29,6709.388184,6720.675781,6500.053711,6592.536133,6592.536133,10603318845
2019-09-30,6592.569336,6765.464355,6372.052734,6748.894531,6748.894531,13927220768
2019-10-01,6753.657227,6913.518066,6697.910645,6787.889648,6787.889648,12452060072
2019-10-02,6788.651367,6821.671387,6687.281738,6821.671387,6821.671387,10668277182
2019-10-03,6819.828125,6817.821289,6600.837891,6692.848633,6692.848633,11075478550
2019-10-04,6692.445313,6697.500977,6609.267090,6653.621582,6653.621582,10653865294
2019-10-05,6657.035156,6660.334961,6543.265625,6608.429688,6608.429688,9890955278
2019-10-06,6607.113281,6617.157227,6452.924805,6476.685059,6476.685059,10670616960
2019-10-07,6477.466797,6761.591309,6433.878418,6710.460938,6710.460938,14656706739
2019-10-08,6711.459473,6819.535645,6699.269531,6734.477051,6734.477051,12760786845
2019-10-09,6735.342773,7064.365723,6689.021973,7038.191895,7038.191895,15872390782
2019-10-10,7029.626953,6936.530762,6813.213867,6905.327637,6905.327637,14169103099
2019-10-11,6904.354004,6897.402344,6576.644043,6581.053223,6581.053223,15503634684
2019-10-12,6576.235352,6654.983887,6574.397949,6592.756348,6592.756348,11492776297
2019-10-13,6593.030762,6713.452637,6559.405762,6594.588379,6594.588379,10943384292
2019-10-14,6594.451172,6653.209473,6569.092285,6640.900391,6640.900391,12014641485
2019-10-15,6639.926270,6591.737793,6413.041016,6430.802246,6430.802246,11928709212
2019-10-16,6430.257813,6409.368164,6228.617676,6277.320313,6277.320313,12536382878
2019-10-17,6277.543457,6321.854004,6217.804688,6297.825195,6297.825195,11123159543
2019-10-18,6295.510742,6269.516602,6087.519043,6142.248047,6142.248047,12057376535
2019-10-19,6142.707520,6226.542480,6120.346191,6154.075195,6154.075195,10629306758
2019-10-20,6161.198730,6420.223145,6162.556152,6373.911133,6373.911133,12019188748
2019-10-21,6376.265625,6396.045898,6318.740234,6355.208496,6355.208496,12233456532
2019-10-22,6354.962402,6439.603516,6267.147949,6270.050781,6270.050781,13042260988
2019-10-23,6268.518066,6264.151367,5781.412598,5816.514160,5816.514160,16984249114
2019-10-24,5812.687500,5868.088867,5801.188965,5837.412598,5837.412598,12673291656
2019-10-25,5835.242676,6777.819336,5833.026367,6753.770020,6753.770020,22384726759
2019-10-26,6759.132813,7813.011719,6753.432617,7207.436035,7207.436035,34689547850
2019-10-27,7204.890137,7600.791992,7104.192383,7446.574219,7446.574219,25409799318
2019-10-28,7457.010742,7627.401367,7200.357910,7200.357910,7200.357910,24074647823
2019-10-29,7194.361816,7397.336914,7176.934570,7328.546875,7328.546875,22097358397
2019-10-30,7324.485840,7306.713867,7042.016113,7135.303223,7135.303223,21475166387
2019-10-31,7132.769531,7251.447266,6977.528320,7109.577148,7109.577148,20544246525
2019-11-01,7105.254883,7167.300293,7056.333008,7156.055176,7156.055176,18795688760
2019-11-02,7155.034180,7245.777344,7146.953125,7205.004395,7205.004395,16413748704
2019-11-03,7205.057617,7250.665527,7066.260742,7139.003418,7139.003418,16335375773
2019-11-04,7139.198242,7373.914551,7130.653320,7302.200684,7302.200684,20302596448
2019-11-05,7302.505859,7342.720703,7187.063477,7253.519531,7253.519531,20340547668
2019-11-06,7252.228516,7328.932129,7237.680176,7280.433594,7280.433594,17992410565
2019-11-07,7273.833496,7307.626953,7178.046875,7228.910645,7228.910645,17706821503
2019-11-08,7227.200195,7258.521484,6869.303711,6892.275879,6892.275879,19047391024
2019-11-09,6895.867676,6960.328613,6883.103516,6899.087402,6899.087402,13760182887
2019-11-10,6898.231934,7115.413574,6882.764160,7077.663574,7077.663574,16091209360
2019-11-11,7078.750977,7065.734863,6769.552246,6814.041016,6814.041016,15767681979
2019-11-12,6815.568848,6889.019531,6758.036133,6859.370117,6859.370117,15802807935
2019-11-13,6856.546387,6875.230957,6816.730957,6852.995605,6852.995605,13650931074
2019-11-14,6855.854004,6852.683105,6748.349609,6760.416504,6760.416504,14816189778
2019-11-15,6758.563477,6766.287109,6575.618652,6581.157715,6581.157715,16892215015
2019-11-16,6580.518066,6658.660156,6567.194336,6626.702637,6626.702637,12783663175
2019-11-17,6625.703125,6755.073242,6579.519531,6639.121582,6639.121582,14449022453
2019-11-18,6636.029297,6682.582031,6389.349609,6416.929199,6416.929199,16664962022
2019-11-19,6413.723145,6504.113281,6265.443359,6347.577148,6347.577148,16308491541
2019-11-20,6345.617676,6372.592285,6197.188477,6210.151367,6210.151367,16063927276
2019-11-21,6207.348145,6277.678223,5880.806641,5915.924316,5915.924316,17427307681
2019-11-22,5916.558594,5997.185059,5404.526855,5684.909668,5684.909668,26678873074
2019-11-23,5684.587402,5798.412598,5571.812500,5763.771484,5763.771484,16368473192
2019-11-24,5764.423828,5765.429199,5470.263184,5484.759277,5484.759277,23683667490
2019-11-25,5478.580566,5675.429199,5130.600586,5540.733398,5540.733398,33095866003
2019-11-26,5539.977539,5691.442383,5519.104492,5612.247559,5612.247559,16428084912
2019-11-27,5614.198730,5893.070801,5393.826660,5824.988770,5824.988770,18554958632
2019-11-28,5828.976563,5986.732422,5773.016113,5779.974121,5779.974121,14753801071
2019-11-29,5782.778809,6019.092773,5771.230469,6003.671387,6003.671387,15246336371
2019-11-30,6005.847656,6061.577148,5813.847656,5855.449707,5855.449707,13272635786
2019-12-01,5856.985840,5863.921387,5646.859863,5749.824707,5749.824707,14498458610
2019-12-02,5749.626465,5777.018555,5590.434082,5658.900879,5658.900879,13202094308
2019-12-03,5660.437012,5707.691895,5561.898438,5631.746582,5631.746582,11384430879
2019-12-04,5631.730957,5751.347656,5469.979980,5531.852051,5531.852051,16525482973
2019-12-05,5532.772949,5884.512695,5496.371582,5660.236816,5660.236816,14299020546
2019-12-06,5661.950195,5745.279297,5627.418945,5745.279297,5745.279297,13782332752
